"Rk","Name","TN","ISOBIP","SLGBIP","H","X2B","X3B","HR","SB","BA","SLG","OBP","OPS"
1,"佐藤輝明","T",0.1330049261083744,0.458128078817734,79,21,3,13,5,0.2791519434628975,0.5123674911660777,0.34394904458598724,0.856316535752065
2,"塩見泰隆","S",0.12903225806451613,0.5,80,16,4,11,17,0.3018867924528302,0.5169811320754717,0.3779264214046823,0.894907553480154
3,"山田哲人","S",0.11309523809523808,0.39285714285714285,61,19,0,14,8,0.24302788844621515,0.4860557768924303,0.348993288590604,0.8350490654830343
4,"ウォーカー","G",0.09248554913294799,0.4277456647398844,74,16,0,16,3,0.30327868852459017,0.5655737704918032,0.32142857142857145,0.8870023419203747
5,"阿部寿樹","D",0.08888888888888885,0.4111111111111111,64,14,1,6,1,0.26337448559670784,0.40329218106995884,0.32342007434944237,0.7267122554194012
6,"ポランコ","G",0.08839779005524862,0.39779005524861877,66,14,1,10,2,0.2608695652173913,0.4426877470355731,0.31636363636363635,0.7590513833992094
7,"牧秀悟","DB",0.08333333333333337,0.36904761904761907,64,12,1,16,3,0.2895927601809955,0.5701357466063348,0.36470588235294116,0.934841628959276
8,"ビシエド","D",0.08205128205128209,0.36923076923076925,63,16,0,7,1,0.2703862660944206,0.4291845493562232,0.32806324110671936,0.7572477904629425
9,"木下拓哉","D",0.078125,0.3541666666666667,56,11,2,3,2,0.26666666666666666,0.38095238095238093,0.3111111111111111,0.692063492063492
10,"丸佳浩","G",0.0776255707762557,0.3698630136986301,78,15,1,14,5,0.28363636363636363,0.49818181818181817,0.3706070287539936,0.8687888469358118
11,"西川龍馬","C",0.07526881720430112,0.40860215053763443,67,8,3,5,2,0.29385964912280704,0.42105263157894735,0.33739837398373984,0.7584510055626872
12,"佐野恵太","DB",0.07246376811594202,0.40096618357487923,76,15,0,8,0,0.32340425531914896,0.48936170212765956,0.345679012345679,0.8350407144733385
13,"マクブルーム","C",0.06989247311827956,0.3763440860215054,64,13,0,7,0,0.2601626016260163,0.3983739837398374,0.352112676056338,0.7504866597961755
14,"岡林勇希","D",0.06986899563318777,0.34934497816593885,64,6,5,0,8,0.24615384615384617,0.3076923076923077,0.2757352941176471,0.5834276018099548
15,"長岡秀樹","S",0.0678733031674208,0.34841628959276016,65,15,0,3,2,0.25,0.3423076923076923,0.2631578947368421,0.6054655870445345
16,"吉川尚輝","G",0.06756756756756754,0.38738738738738737,74,9,3,3,11,0.296,0.392,0.3553113553113553,0.7473113553113553
17,"大山悠輔","T",0.06703910614525138,0.33519553072625696,66,12,0,18,0,0.25984251968503935,0.5196850393700787,0.3436426116838488,0.8633276510539275
18,"坂倉将吾","C",0.06521739130434784,0.4043478260869565,84,11,2,6,0,0.3088235294117647,0.43014705882352944,0.3675496688741722,0.7976967276977016
19,"村上宗隆","S",0.06329113924050633,0.3924050632911392,77,10,0,25,8,0.3155737704918033,0.6639344262295082,0.44333333333333336,1.1072677595628415
20,"菊池涼介","C",0.06113537117903928,0.3537117903930131,70,14,0,3,1,0.26217228464419473,0.34831460674157305,0.2978723404255319,0.6461869471671049
21,"中野拓夢","T",0.053941908713692976,0.36929460580912865,79,11,1,3,14,0.2668918918918919,0.34121621621621623,0.2875816993464052,0.6287979155626214
22,"小園海斗","C",0.05069124423963134,0.30414746543778803,57,5,3,2,1,0.22440944881889763,0.29133858267716534,0.25650557620817843,0.5478441588853438
23,"近本光司","T",0.05058365758754868,0.40077821011673154,90,11,1,0,13,0.30405405405405406,0.34797297297297297,0.36419753086419754,0.7121705038371705
24,"岡本和真","G",0.04975124378109452,0.2935323383084577,69,10,0,20,0,0.2574626865671642,0.5186567164179104,0.34210526315789475,0.8607619795758052
25,"オスナ","S",0.047368421052631615,0.3105263157894737,57,7,1,7,0,0.23553719008264462,0.359504132231405,0.2637795275590551,0.6232836597904601
26,"糸原健斗","T",0.04326923076923078,0.3125,58,7,1,2,1,0.24786324786324787,0.31196581196581197,0.2948207171314741,0.606786529097286
27,"大島洋平","D",0.04093567251461988,0.391812865497076,61,5,1,1,1,0.3034825870646766,0.35323383084577115,0.3577981651376147,0.7110319959833858
