"Rk","Name","TN","ISOBIP","SLGBIP","ISO","HR","SO","BB","TTO","H","X2B","X3B","SB","BA","SLG","OBP","OPS"
1,"佐藤輝明","T",0.14285714285714285,0.4588744588744589,0.234375,14,79,30,34.45378151260504,87,25,4,6,0.271875,0.50625,0.33613445378151263,0.8423844537815126
2,"塩見泰隆","S",0.11659192825112108,0.49327354260089684,0.20261437908496738,12,73,34,34,96,18,4,22,0.3137254901960784,0.5163398692810458,0.3942857142857143,0.91062558356676
3,"山田哲人","S",0.11442786069651745,0.4129353233830846,0.22972972972972971,15,85,41,40.869565217391305,75,23,0,8,0.2533783783783784,0.4831081081081081,0.34492753623188405,0.8280356443399921
4,"ウォーカー","G",0.10294117647058826,0.43137254901960786,0.24999999999999994,17,68,8,31.103678929765888,84,21,0,3,0.2916666666666667,0.5416666666666666,0.31438127090301005,0.8560479375696767
5,"阿部寿樹","D",0.09259259259259262,0.42592592592592593,0.13380281690140844,6,65,24,30.35143769968051,78,18,1,1,0.2746478873239437,0.4084507042253521,0.33226837060702874,0.7407190748323809
6,"桑原将志","DB",0.09195402298850575,0.40229885057471265,0.0867579908675799,1,45,19,26.53061224489796,55,14,1,5,0.2511415525114155,0.3378995433789954,0.3181818181818182,0.6560813615608136
7,"宮﨑敏郎","DB",0.09183673469387754,0.42857142857142855,0.15137614678899086,5,18,23,18.930041152263374,71,18,0,0,0.3256880733944954,0.47706422018348627,0.39094650205761317,0.8680107222410994
8,"牧秀悟","DB",0.08212560386473428,0.36231884057971014,0.24436090225563917,16,49,27,30.16393442622951,74,15,1,3,0.2781954887218045,0.5225563909774437,0.35081967213114756,0.8733760631085912
9,"ポランコ","G",0.07881773399014774,0.3793103448275862,0.1713286713286713,11,73,23,34.40514469453376,72,14,1,2,0.2517482517482518,0.4230769230769231,0.3086816720257235,0.7317585951026466
10,"佐野恵太","DB",0.07851239669421489,0.40082644628099173,0.17437722419928825,10,29,12,17.346938775510203,88,19,0,0,0.31316725978647686,0.4875444839857651,0.3435374149659864,0.8310818989517514
11,"木下拓哉","D",0.0761904761904762,0.3476190476190476,0.10683760683760685,3,22,15,15.503875968992247,60,12,2,2,0.2564102564102564,0.36324786324786323,0.30278884462151395,0.6660367078693772
12,"ビシエド","D",0.07547169811320753,0.36792452830188677,0.1474103585657371,7,32,17,20.66420664206642,69,16,0,1,0.2749003984063745,0.42231075697211157,0.3284132841328413,0.7507240411049529
13,"マクブルーム","C",0.07476635514018692,0.40186915887850466,0.1701388888888889,11,65,37,34.34650455927052,81,16,0,0,0.28125,0.4513888888888889,0.364741641337386,0.8161305302262749
14,"吉川尚輝","G",0.07335907335907338,0.38996138996138996,0.10689655172413792,4,28,22,16.666666666666664,86,11,4,12,0.296551724137931,0.40344827586206894,0.35331230283911674,0.7567605787011857
15,"大山悠輔","T",0.07211538461538458,0.3317307692307692,0.2482758620689655,19,66,35,36.03603603603604,73,13,1,0,0.2517241379310345,0.5,0.3373493975903614,0.8373493975903614
16,"丸佳浩","G",0.07086614173228345,0.3543307086614173,0.21766561514195587,17,46,45,29.67032967032967,89,16,1,5,0.2807570977917981,0.49842271293375395,0.371900826446281,0.8703235393800349
17,"長岡秀樹","S",0.0703125,0.35546875,0.10927152317880795,5,42,6,16.510903426791277,78,18,0,2,0.2582781456953642,0.3675496688741722,0.2765273311897106,0.6440770000638828
18,"岡林勇希","D",0.0648854961832061,0.37404580152671757,0.05704697986577184,0,37,12,15.030674846625766,81,7,5,9,0.27181208053691275,0.3288590604026846,0.3035143769968051,0.6323734373994897
19,"菊池涼介","C",0.06367041198501877,0.34831460674157305,0.08280254777070062,3,45,14,17.56373937677054,79,15,1,1,0.2515923566878981,0.3343949044585987,0.28484848484848485,0.6192433893070836
20,"村上宗隆","S",0.06145251396648044,0.3854748603351955,0.34628975265017664,29,75,65,48.148148148148145,87,11,0,9,0.30742049469964666,0.6537102473498233,0.4415954415954416,1.095305688945265
21,"坂倉将吾","C",0.06106870229007633,0.40076335877862596,0.12779552715654957,8,46,24,22.54335260115607,97,12,2,0,0.30990415335463256,0.43769968051118213,0.3670520231213873,0.8047517036325694
22,"中野拓夢","T",0.05338078291814946,0.3807829181494662,0.07894736842105265,4,58,9,19.346049046321525,96,13,1,16,0.2807017543859649,0.35964912280701755,0.3002832861189802,0.6599324089259977
23,"小園海斗","C",0.05158730158730157,0.3253968253968254,0.08445945945945946,4,43,13,18.867924528301888,73,5,4,1,0.24662162162162163,0.3310810810810811,0.27564102564102566,0.6067221067221067
24,"近本光司","T",0.047619047619047616,0.3877551020408163,0.05014749262536877,1,44,28,19.72972972972973,101,12,1,15,0.29793510324483774,0.3480825958702065,0.35501355013550134,0.7030961460057079
25,"オスナ","S",0.04504504504504503,0.3333333333333333,0.12982456140350873,9,56,10,25.252525252525253,73,8,1,0,0.256140350877193,0.38596491228070173,0.27946127946127947,0.6654261917419813
26,"岡本和真","G",0.04366812227074238,0.28820960698689957,0.23856209150326796,21,58,39,33.42776203966006,77,10,0,0,0.25163398692810457,0.49019607843137253,0.34560906515580736,0.8358051435871798
27,"大島洋平","D",0.04245283018867929,0.4009433962264151,0.04878048780487809,1,33,15,18.352059925093634,77,7,1,1,0.3130081300813008,0.3617886178861789,0.3622641509433962,0.724052768829575
28,"糸原健斗","T",0.03947368421052633,0.31140350877192985,0.057471264367816105,2,32,18,18.24561403508772,64,7,1,1,0.24521072796934865,0.30268199233716475,0.2978723404255319,0.6005543327626967
