"Rk","Name","TN","ISOBIP","SLGBIP","H","X2B","X3B","HR","SB","BA","SLG","OBP","OPS"
1,"オグレディ","L",0.11347517730496454,0.41843971631205673,51,16,0,8,2,0.24285714285714285,0.43333333333333335,0.3347107438016529,0.7680440771349862
2,"野村佑希","F",0.1032608695652174,0.45108695652173914,68,17,1,4,2,0.29694323144104806,0.43231441048034935,0.3305785123966942,0.7628929228770436
3,"島内宏明","E",0.10194174757281554,0.41262135922330095,68,19,1,4,3,0.27530364372469635,0.4089068825910931,0.3674911660777385,0.7763980486688316
4,"今宮健太","H",0.09890109890109894,0.46153846153846156,67,18,0,1,1,0.3316831683168317,0.43564356435643564,0.3778801843317972,0.8135237486882329
5,"西川遥輝","E",0.0949367088607595,0.3860759493670886,52,9,3,6,13,0.22510822510822512,0.36796536796536794,0.36395759717314485,0.7319229651385128
6,"外崎修汰","L",0.09392265193370164,0.3701657458563536,53,13,2,3,6,0.21991701244813278,0.3278008298755187,0.2894736842105263,0.617274514086045
7,"福田周平","B",0.07729468599033817,0.3864734299516908,64,6,5,0,6,0.27467811158798283,0.34334763948497854,0.324,0.6673476394849785
8,"山川穂高","L",0.07258064516129031,0.3387096774193548,55,9,0,22,0,0.2894736842105263,0.6842105263157895,0.3901345291479821,1.0743450554637715
9,"松本剛","F",0.0684931506849315,0.4383561643835616,84,15,0,3,17,0.34854771784232363,0.44813278008298757,0.38461538461538464,0.8327481646983722
10,"グラシアル","H",0.0680628272251309,0.41361256544502617,71,9,2,5,1,0.29218106995884774,0.4074074074074074,0.36496350364963503,0.7723709110570425
11,"中村奨吾","M",0.06632653061224492,0.3469387755102041,59,13,0,4,8,0.24686192468619247,0.3514644351464435,0.32967032967032966,0.6811347648167732
12,"杉本裕太郎","B",0.06349206349206349,0.3888888888888889,49,6,1,8,2,0.24378109452736318,0.40298507462686567,0.32456140350877194,0.7275464781356376
13,"柳田悠岐","H",0.05882352941176472,0.3602941176470588,51,8,0,10,0,0.2512315270935961,0.43842364532019706,0.32751091703056767,0.7659345623507647
14,"辰己涼介","E",0.05590062111801242,0.37888198757763975,57,7,1,5,6,0.26635514018691586,0.37850467289719625,0.3617886178861789,0.7402932907833751
15,"中村晃","H",0.055276381909547756,0.3316582914572864,57,7,2,2,0,0.2511013215859031,0.32599118942731276,0.32677165354330706,0.6527628429706198
16,"宗佑磨","B",0.05494505494505497,0.3901098901098901,61,10,0,0,3,0.2747747747747748,0.31981981981981983,0.3346938775510204,0.6545136973708403
17,"浅村栄斗","E",0.054644808743169404,0.3551912568306011,67,10,0,12,2,0.26171875,0.44140625,0.3612040133779264,0.8026102633779264
18,"マーティン","M",0.049586776859504134,0.2396694214876033,30,6,0,7,4,0.16483516483516483,0.3131868131868132,0.2986425339366516,0.6118293471234648
19,"三森大貴","H",0.04838709677419356,0.34408602150537637,61,5,2,6,9,0.25957446808510637,0.37446808510638296,0.32567049808429116,0.7001385831906741
20,"甲斐拓也","H",0.0431034482758621,0.3103448275862069,31,5,0,0,1,0.18902439024390244,0.21951219512195122,0.2925531914893617,0.512065386611313
21,"佐藤都志也","M",0.04278074866310158,0.2887700534759358,48,6,1,2,5,0.22018348623853212,0.28440366972477066,0.2719665271966527,0.5563701969214234
22,"レアード","M",0.04069767441860464,0.26744186046511625,50,7,0,11,0,0.211864406779661,0.3813559322033898,0.25868725868725867,0.6400431908906485
23,"髙部瑛斗","M",0.0393013100436681,0.35807860262008734,74,7,1,1,23,0.26334519572953735,0.30604982206405695,0.3125,0.618549822064057
