"Rk","Name","TN","ISOBIP","SLGBIP","ISO","HR","SO","BB","TTO","H","X2B","X3B","SB","BA","SLG","OBP","OPS"
1,"西川遥輝","E",0.10989010989010989,0.3956043956043956,0.14615384615384616,6,73,53,40.993788819875775,58,12,4,16,0.2230769230769231,0.36923076923076925,0.35962145110410093,0.7288522203348702
2,"オグレディ","L",0.10759493670886072,0.3924050632911392,0.20920502092050208,11,72,31,41.30434782608695,56,17,0,2,0.23430962343096234,0.4435146443514644,0.32971014492753625,0.7732247892790007
3,"島内宏明","E",0.10126582278481011,0.4177215189873418,0.14788732394366194,6,43,37,26.299694189602445,81,22,1,4,0.2852112676056338,0.43309859154929575,0.37116564417177916,0.804264235721075
4,"野村佑希","F",0.09859154929577468,0.431924882629108,0.14444444444444443,6,52,12,24.561403508771928,77,19,1,2,0.2851851851851852,0.42962962962962964,0.31690140845070425,0.7465310380803338
5,"今宮健太","H",0.09000000000000002,0.435,0.09130434782608693,1,29,15,17.441860465116278,70,18,0,1,0.30434782608695654,0.39565217391304347,0.3522267206477733,0.7478788945608168
6,"外崎修汰","L",0.08962264150943394,0.3584905660377358,0.11151079136690648,4,63,26,29.712460063897762,61,13,3,6,0.21942446043165467,0.33093525179856115,0.2899022801302932,0.6208375319288544
7,"山川穂高","L",0.0763888888888889,0.3402777777777778,0.39380530973451333,26,57,34,43.82022471910113,64,11,0,0,0.2831858407079646,0.6769911504424779,0.3895131086142322,1.0665042590567102
8,"松本剛","F",0.0753968253968254,0.4642857142857143,0.1003584229390681,3,27,16,15.032679738562091,101,17,1,20,0.36200716845878134,0.46236559139784944,0.39867109634551495,0.8610366877433644
9,"福田周平","B",0.07112970711297073,0.3807531380753138,0.06296296296296294,0,31,18,16.333333333333332,74,7,5,6,0.2740740740740741,0.337037037037037,0.3310580204778157,0.6680950575148528
10,"グラシアル","H",0.0680628272251309,0.41361256544502617,0.11522633744855965,5,49,26,29.1970802919708,71,9,2,1,0.29218106995884774,0.4074074074074074,0.36496350364963503,0.7723709110570425
11,"中村奨吾","M",0.06666666666666671,0.35555555555555557,0.11029411764705888,5,46,34,26.234567901234566,70,15,0,8,0.25735294117647056,0.36764705882352944,0.346031746031746,0.7136788048552755
12,"柳田悠岐","H",0.0625,0.375,0.17467248908296945,10,62,24,37.2093023255814,60,10,0,0,0.26200873362445415,0.4366812227074236,0.3333333333333333,0.770014556040757
13,"杉本裕太郎","B",0.06,0.38666666666666666,0.16115702479338842,10,84,24,43.06569343065693,59,7,1,2,0.24380165289256198,0.4049586776859504,0.3248175182481752,0.7297761959341256
14,"宗佑磨","B",0.05213270142180093,0.36018957345971564,0.0431372549019608,0,47,20,23.18339100346021,65,11,0,3,0.2549019607843137,0.2980392156862745,0.31560283687943264,0.6136420525657071
15,"三森大貴","H",0.05116279069767443,0.35348837209302325,0.10820895522388063,6,49,23,26,71,7,2,12,0.26492537313432835,0.373134328358209,0.3254237288135593,0.6985580571717682
16,"辰己涼介","E",0.051136363636363646,0.3465909090909091,0.10169491525423727,5,55,29,32.12996389891697,57,7,1,7,0.24152542372881355,0.3432203389830508,0.337037037037037,0.6802573760200878
17,"中村晃","H",0.05045871559633025,0.3165137614678899,0.0674603174603175,2,33,27,21.75438596491228,60,7,2,1,0.23809523809523808,0.3055555555555556,0.31316725978647686,0.6187228153420324
18,"浅村栄斗","E",0.048543689320388383,0.34951456310679613,0.17931034482758618,14,72,48,39.1812865497076,76,10,0,2,0.2620689655172414,0.4413793103448276,0.3684210526315789,0.8098003629764066
19,"紅林弘太郎","B",0.04255319148936171,0.2765957446808511,0.061674008810572695,2,38,15,21.568627450980394,46,6,1,2,0.2026431718061674,0.2643171806167401,0.2661290322580645,0.5304462128748046
20,"髙部瑛斗","M",0.038461538461538436,0.35,0.041269841269841234,1,56,22,22.57142857142857,82,8,1,27,0.26031746031746034,0.30158730158730157,0.3128654970760234,0.614452798663325
21,"佐藤都志也","M",0.038277511961722493,0.2679425837320574,0.08130081300813005,4,38,16,20.938628158844764,52,6,1,5,0.21138211382113822,0.2926829268292683,0.2574626865671642,0.5501456133964324
22,"レアード","M",0.03723404255319149,0.26595744680851063,0.16412213740458018,12,68,13,32.51748251748251,55,7,0,0,0.2099236641221374,0.37404580152671757,0.25524475524475526,0.6292905567714728
